Id Epreuve; HeureOuverture(1ereEpreuve); Echauffement; Annonce; Temps/Series; nbSeries; Battement Epreuve
sta;10:15;30;4;14;5;20
dwf;;30;4;9;8;28
1650;;30;4;25;4;10
dnf;;30;4;10;8;15
spd;;30;4;7;6;10
