Id; Prenom; Nom; Sexe; Equipe; Epreuve; Annonce; Resultat; Place
15;Stephanie;DELICOURT;F;Enjoy And Relax;spd;120;120;1
7;Anne;BORGAT;F;CYRNEA;spd;70;70;2
41;Omr;SALEH;H;SOLO;spd;100;100;1
34;Stéphane;PETTENUZZO;H;LIMULES;spd;85;85;2
20;Richard;JAUFFRAUD;H;Imashi;spd;75;75;3
27;Christopher;BRATANIC;H;Les Cormorans 2;spd;60;60;4
37;Aurélien;LANOISELIER;H;SavoyOuBien?;spd;60;60;5
1;Martin;ZAJAC;H;Apneaman, Praha, Czech Republic;spd;50;50;6
42;Christian;VOGLER;H;Sportpleizh;spd;50;50;7
22;Alexandre;GASS;H;Les Cormorans 1;spd;45;45;8
